time,open,high,low,close
2026-08-18T18:00:00Z,4357.74,4360.97,4352.67,4354.08
2026-08-18T19:00:00Z,4354.15,4358.76,4338.12,4345.52
2026-08-18T20:00:00Z,4345.52,4346.42,4329.14,4334.65
2026-08-18T22:00:00Z,4333.74,4343.53,4332.6,4333.9
2026-08-18T23:00:00Z,4333.9,4338.44,4327.1,4333.09
2026-08-19T00:00:00Z,4333.41,4347.19,4331.53,4337.85
2026-08-19T01:00:00Z,4337.43,4357.41,4324.51,4356.36
2026-08-19T02:00:00Z,4356.32,4361.95,4351.5,4354.94
2026-08-19T03:00:00Z,4354.94,4360.26,4351.97,4354.93
2026-08-19T04:00:00Z,4354.93,4356.13,4343.79,4348.37
2026-08-19T05:00:00Z,4348.37,4350.7,4335.08,4335.64
2026-08-19T06:00:00Z,4335.59,4349.48,4335.39,4349.08
2026-08-19T07:00:00Z,4348.9,4363.14,4347.48,4354.8
2026-08-19T08:00:00Z,4354.79,4362.98,4351.24,4355.65
2026-08-19T09:00:00Z,4355.58,4361.91,4353.38,4361.8
2026-08-19T10:00:00Z,4361.9,4369.38,4359.68,4367.27
2026-08-19T11:00:00Z,4367.25,4374.07,4363.14,4364.71
2026-08-19T12:00:00Z,4364.71,4442.03,4361.8,4438.43
2026-08-19T13:00:00Z,4438.71,4465.97,4424.41,4459.87
2026-08-19T14:00:00Z,4459.87,4498.57,4455.69,4488.14
2026-08-19T15:00:00Z,4488.16,4493.95,4478.33,4493.71
2026-08-19T16:00:00Z,4493.71,4499.11,4490.6,4493.71
2026-08-19T17:00:00Z,4493.71,4499.07,4484.42,4486.73
2026-08-19T18:00:00Z,4486.84,4496.59,4472.27,4494.8
2026-08-19T19:00:00Z,4494.8,4512.12,4494.35,4511.61
2026-08-19T20:00:00Z,4511.44,4524.19,4505.11,4522.88
2026-08-19T22:00:00Z,4526.23,4527.0,4516.43,4518.78
2026-08-19T23:00:00Z,4518.8,4523.66,4511.27,4511.69
2026-08-20T00:00:00Z,4511.37,4521.08,4503.91,4504.58
2026-08-20T01:00:00Z,4504.59,4509.83,4484.47,4489.56
2026-08-20T02:00:00Z,4489.56,4499.73,4488.49,4490.67
2026-08-20T03:00:00Z,4490.66,4500.9,4488.1,4498.92
2026-08-20T04:00:00Z,4498.88,4499.18,4486.44,4488.39
2026-08-20T05:00:00Z,4488.45,4494.0,4477.81,4481.26
2026-08-20T06:00:00Z,4481.26,4496.02,4480.06,4493.81
2026-08-20T07:00:00Z,4493.78,4493.78,4483.52,4490.94
2026-08-20T08:00:00Z,4490.92,4498.57,4487.19,4489.26
2026-08-20T09:00:00Z,4489.26,4493.97,4481.77,4482.74
2026-08-20T10:00:00Z,4482.72,4494.73,4480.78,4490.05
2026-08-20T11:00:00Z,4490.05,4491.22,4465.75,4467.02
2026-08-20T12:00:00Z,4466.96,4477.1,4450.46,4474.88
2026-08-20T13:00:00Z,4474.98,4489.25,4469.25,4481.51
2026-08-20T14:00:00Z,4481.5,4516.17,4480.9,4515.77
2026-08-20T15:00:00Z,4515.99,4540.72,4510.45,4521.5
2026-08-20T16:00:00Z,4521.5,4524.73,4502.81,4510.02
2026-08-20T17:00:00Z,4510.02,4520.35,4507.69,4519.8
2026-08-20T18:00:00Z,4519.8,4525.11,4508.22,4521.85
2026-08-20T19:00:00Z,4521.85,4532.05,4518.1,4528.72
2026-08-20T20:00:00Z,4528.99,4529.0,4516.85,4518.91
2026-08-20T22:00:00Z,4520.62,4524.5,4516.87,4524.14
2026-08-20T23:00:00Z,4524.14,4532.8,4520.67,4526.41
2026-08-21T00:00:00Z,4526.39,4527.46,4509.93,4510.49
2026-08-21T01:00:00Z,4510.44,4543.81,4508.71,4530.58
2026-08-21T02:00:00Z,4530.58,4542.86,4518.31,4533.68
2026-08-21T03:00:00Z,4533.9,4538.03,4526.85,4535.37
2026-08-21T04:00:00Z,4535.36,4547.96,4535.31,4540.55
2026-08-21T05:00:00Z,4540.56,4556.19,4529.1,4553.52
2026-08-21T06:00:00Z,4553.52,4567.57,4545.51,4561.07
2026-08-21T07:00:00Z,4561.0,4568.01,4558.6,4564.3
2026-08-21T08:00:00Z,4564.27,4584.99,4559.25,4584.25
2026-08-21T09:00:00Z,4584.25,4601.95,4579.93,4582.54
2026-08-21T10:00:00Z,4582.59,4594.11,4578.04,4588.54
2026-08-21T11:00:00Z,4588.54,4604.53,4587.24,4596.72
2026-08-21T12:00:00Z,4597.12,4601.82,4563.58,4578.08
2026-08-21T13:00:00Z,4578.06,4592.77,4573.35,4581.08
2026-08-21T14:00:00Z,4581.08,4603.71,4579.97,4591.08
2026-08-21T15:00:00Z,4591.08,4615.19,4587.41,4614.49
2026-08-21T16:00:00Z,4614.49,4628.89,4609.34,4628.85
2026-08-21T17:00:00Z,4628.85,4632.2,4615.35,4621.04
2026-08-21T18:00:00Z,4620.84,4627.8,4619.42,4624.14
2026-08-21T19:00:00Z,4624.12,4625.49,4615.75,4616.6
2026-08-21T20:00:00Z,4616.6,4617.65,4601.04,4601.04
2026-08-21T21:00:00Z,4606.3,4610.6,4606.3,4607.4
2026-08-21T22:00:00Z,4607.4,4610.1,4606.4,4609.72
2026-08-21T23:00:00Z,4609.72,4611.0,4608.92,4610.4
2026-08-22T00:00:00Z,4610.4,4610.8,4604.81,4606.5
2026-08-22T01:00:00Z,4606.5,4607.5,4603.32,4607.5
2026-08-22T02:00:00Z,4607.5,4610.62,4605.3,4608.0
2026-08-22T03:00:00Z,4608.0,4610.6,4605.1,4608.1
2026-08-22T04:00:00Z,4608.1,4608.4,4605.35,4607.11
2026-08-22T05:00:00Z,4607.11,4609.3,4588.13,4603.85
2026-08-22T06:00:00Z,4603.85,4603.85,4598.21,4601.7
2026-08-22T07:00:00Z,4601.7,4606.2,4601.61,4605.8
2026-08-22T08:00:00Z,4605.8,4605.8,4602.28,4605.6
2026-08-22T09:00:00Z,4605.6,4606.1,4604.98,4606.1
2026-08-22T10:00:00Z,4606.1,4606.1,4602.42,4604.5
2026-08-22T11:00:00Z,4604.5,4604.8,4601.53,4603.12
2026-08-22T12:00:00Z,4603.12,4604.4,4603.12,4604.4
2026-08-22T13:00:00Z,4604.4,4604.4,4601.65,4601.8
2026-08-22T14:00:00Z,4601.8,4603.4,4600.11,4602.85
2026-08-22T15:00:00Z,4602.85,4603.0,4602.57,4603.0
2026-08-22T16:00:00Z,4603.0,4606.0,4602.91,4604.95
2026-08-22T17:00:00Z,4604.95,4606.0,4601.48,4605.18
2026-08-22T18:00:00Z,4605.18,4605.6,4604.02,4604.7
2026-08-22T19:00:00Z,4604.7,4604.7,4603.55,4604.5
2026-08-22T20:00:00Z,4604.5,4604.6,4602.65,4603.4
2026-08-22T21:00:00Z,4603.4,4603.9,4602.12,4602.15
2026-08-22T22:00:00Z,4602.15,4602.9,4601.4,4601.62
2026-08-22T23:00:00Z,4601.62,4602.4,4601.41,4602.4
2026-08-23T00:00:00Z,4602.52,4603.8,4602.41,4603.55
2026-08-23T01:00:00Z,4603.55,4603.65,4603.2,4603.2
2026-08-23T02:00:00Z,4603.2,4603.6,4603.2,4603.3
2026-08-23T03:00:00Z,4603.3,4603.4,4602.38,4602.98
2026-08-23T04:00:00Z,4602.98,4603.9,4602.82,4603.45
2026-08-23T05:00:00Z,4603.45,4603.62,4602.6,4603.16
2026-08-23T06:00:00Z,4603.16,4603.6,4602.26,4603.38
2026-08-23T07:00:00Z,4603.38,4604.5,4603.38,4604.2
2026-08-23T08:00:00Z,4604.2,4604.5,4603.22,4603.78
2026-08-23T09:00:00Z,4603.78,4604.0,4603.21,4603.35
2026-08-23T10:00:00Z,4603.35,4605.7,4603.32,4605.7
2026-08-23T11:00:00Z,4605.7,4609.5,4605.7,4609.5
2026-08-23T12:00:00Z,4609.5,4609.9,4609.4,4609.9
2026-08-23T13:00:00Z,4609.9,4611.2,4607.2,4610.52
2026-08-23T14:00:00Z,4610.52,4610.52,4605.92,4607.2
2026-08-23T15:00:00Z,4607.2,4611.9,4606.95,4611.68
2026-08-23T16:00:00Z,4611.68,4613.8,4610.2,4613.42
2026-08-23T17:00:00Z,4613.42,4613.42,4612.11,4612.75
2026-08-23T18:00:00Z,4612.75,4612.9,4612.54,4612.7
2026-08-23T19:00:00Z,4612.7,4612.9,4611.82,4612.82
2026-08-23T20:00:00Z,4612.82,4614.2,4612.61,4614.2
2026-08-23T22:00:00Z,4621.86,4623.28,4605.99,4605.99
2026-08-23T23:00:00Z,4606.1,4624.51,4604.63,4623.96
2026-08-24T00:00:00Z,4624.07,4640.92,4594.85,4621.73
2026-08-24T01:00:00Z,4621.92,4637.48,4608.23,4632.49
2026-08-24T02:00:00Z,4632.22,4656.45,4627.61,4643.65
2026-08-24T03:00:00Z,4643.65,4650.14,4633.3,4641.54
2026-08-24T04:00:00Z,4641.71,4642.63,4632.22,4638.82
2026-08-24T05:00:00Z,4638.82,4646.46,4629.92,4640.44
2026-08-24T06:00:00Z,4640.44,4659.58,4639.53,4650.29
2026-08-24T07:00:00Z,4650.19,4654.47,4630.61,4641.51
2026-08-24T08:00:00Z,4641.51,4645.95,4628.79,4637.8
2026-08-24T09:00:00Z,4637.88,4645.92,4632.86,4645.66
2026-08-24T10:00:00Z,4645.66,4649.92,4641.75,4643.44
2026-08-24T11:00:00Z,4643.44,4670.1,4639.01,4657.53
2026-08-24T12:00:00Z,4657.53,4668.49,4645.5,4662.9
2026-08-24T13:00:00Z,4662.89,4680.63,4656.06,4664.93
2026-08-24T14:00:00Z,4664.63,4678.45,4655.9,4670.65
2026-08-24T15:00:00Z,4670.65,4679.3,4640.01,4649.21
2026-08-24T16:00:00Z,4649.08,4662.21,4642.25,4644.72
2026-08-24T17:00:00Z,4644.72,4655.09,4630.56,4636.82
2026-08-24T18:00:00Z,4636.69,4642.38,4625.27,4636.62
2026-08-24T19:00:00Z,4636.68,4655.76,4635.96,4651.61
2026-08-24T20:00:00Z,4651.61,4655.15,4647.24,4651.93
2026-08-24T22:00:00Z,4656.46,4668.39,4650.88,4667.67
2026-08-24T23:00:00Z,4667.72,4682.6,4666.67,4679.9
2026-08-25T00:00:00Z,4680.27,4696.62,4675.38,4684.21
2026-08-25T01:00:00Z,4684.54,4686.12,4656.62,4657.69
2026-08-25T02:00:00Z,4658.19,4661.6,4617.23,4629.33
2026-08-25T03:00:00Z,4629.33,4641.4,4622.42,4633.69
2026-08-25T04:00:00Z,4633.69,4637.79,4623.86,4625.79
2026-08-25T05:00:00Z,4625.79,4648.02,4623.97,4643.0
2026-08-25T06:00:00Z,4642.83,4653.47,4637.01,4638.34
2026-08-25T07:00:00Z,4638.43,4643.77,4629.88,4630.22
2026-08-25T08:00:00Z,4630.17,4645.17,4620.09,4630.29
2026-08-25T09:00:00Z,4630.08,4642.62,4624.27,4636.61
2026-08-25T10:00:00Z,4636.42,4642.25,4632.85,4639.51
2026-08-25T11:00:00Z,4639.5,4647.19,4637.68,4642.36
2026-08-25T12:00:00Z,4642.36,4644.08,4630.23,4640.84
2026-08-25T13:00:00Z,4640.84,4641.01,4605.34,4616.63
2026-08-25T14:00:00Z,4616.48,4640.04,4613.97,4635.34
2026-08-25T15:00:00Z,4635.54,4659.28,4630.14,4652.62
2026-08-25T16:00:00Z,4652.57,4653.24,4637.21,4643.27
2026-08-25T17:00:00Z,4643.19,4648.43,4634.11,4648.43
2026-08-25T18:00:00Z,4648.49,4654.93,4644.16,4654.56
2026-08-25T19:00:00Z,4654.61,4667.55,4653.28,4666.85
2026-08-25T20:00:00Z,4666.85,4668.78,4651.85,4658.55
2026-08-25T22:00:00Z,4660.54,4673.79,4654.04,4672.69
2026-08-25T23:00:00Z,4672.69,4673.58,4653.16,4655.19
2026-08-26T00:00:00Z,4654.89,4657.52,4634.31,4637.4
2026-08-26T01:00:00Z,4637.58,4660.76,4629.68,4656.86
2026-08-26T02:00:00Z,4657.01,4670.61,4654.92,4658.43
2026-08-26T03:00:00Z,4658.43,4658.45,4642.6,4642.82
2026-08-26T04:00:00Z,4642.79,4644.34,4638.73,4640.64
2026-08-26T05:00:00Z,4640.64,4649.29,4635.4,4639.51
2026-08-26T06:00:00Z,4639.73,4641.33,4624.75,4634.03
2026-08-26T07:00:00Z,4634.03,4639.2,4626.46,4629.07
2026-08-26T08:00:00Z,4628.93,4630.64,4622.15,4628.18
2026-08-26T09:00:00Z,4628.18,4630.88,4616.24,4623.24
2026-08-26T10:00:00Z,4623.22,4624.16,4613.33,4620.32
2026-08-26T11:00:00Z,4620.25,4624.86,4616.53,4624.52
2026-08-26T12:00:00Z,4624.48,4633.33,4611.53,4614.61
2026-08-26T13:00:00Z,4614.59,4631.87,4598.52,4631.33
2026-08-26T14:00:00Z,4631.48,4633.28,4603.01,4603.01
2026-08-26T15:00:00Z,4602.86,4609.3,4583.09,4595.94
2026-08-26T16:00:00Z,4595.96,4601.5,4585.84,4591.5
2026-08-26T17:00:00Z,4591.6,4602.26,4590.67,4597.88
2026-08-26T18:00:00Z,4597.88,4604.61,4592.44,4593.81
2026-08-26T19:00:00Z,4593.84,4601.58,4590.99,4593.89
2026-08-26T20:00:00Z,4593.89,4596.66,4584.1,4593.78
2026-08-26T22:00:00Z,4605.5,4613.34,4601.72,4609.29
2026-08-26T23:00:00Z,4609.29,4624.92,4606.83,4623.7
2026-08-27T00:00:00Z,4623.97,4627.02,4600.47,4605.13
2026-08-27T01:00:00Z,4605.19,4640.83,4602.41,4640.02
2026-08-27T02:00:00Z,4640.02,4642.98,4623.58,4629.81
2026-08-27T03:00:00Z,4629.79,4638.51,4624.43,4625.42
2026-08-27T04:00:00Z,4625.42,4627.32,4617.19,4618.9
2026-08-27T05:00:00Z,4618.78,4621.54,4601.04,4607.07
2026-08-27T06:00:00Z,4607.06,4611.76,4597.67,4600.33
2026-08-27T07:00:00Z,4600.33,4605.9,4593.44,4599.81
2026-08-27T08:00:00Z,4599.81,4606.86,4594.78,4599.14
